city,competition,date,match-id,gender,match-number,match-referee,method,neutralvenue,outcome,player-of-match,reserve-umpire,season,series,team-0,team-1,toss-decision,toss-winner,tv-umpire,umpire-0,umpire-1,venue,winner,winner-runs,winner-wickets,year
,ICC World Cricket League Championship,2012/02/18,543881,male,17.0,D Govindjee,,,,T Mishra,K Gulamabbas,2011/12,,Kenya,Ireland,bat,Ireland,,D Odhiambo,RB Tiffin,Mombasa Sports Club Ground,Kenya,,7.0,2012
,ICC World Cricket League Championship,2012/02/20,543882,male,18.0,D Govindjee,,,,EC Joyce,V Patel,2011/12,,Kenya,Ireland,bat,Ireland,,S George,RB Tiffin,Mombasa Sports Club Ground,Ireland,117.0,,2012
,ICC World Cricket League Championship,2012/03/29,543888,male,21.0,DT Jukes,,True,,,,2011/12,,Afghanistan,Netherlands,bat,Afghanistan,,CB Gaffaney,Sarika Prasad,Sharjah Cricket Stadium,Netherlands,,9.0,2012
,,2012/02/10,545656,male,,JJ Crowe,,True,,Shahid Afridi,Zameer Haider,2011/12,,Afghanistan,Pakistan,bat,Afghanistan,Ahsan Raza,Shozab Raza,SJA Taufel,Sharjah Cricket Stadium,Pakistan,,7.0,2012
Dublin,ICC World Cricket League Championship,2012/07/05,555892,male,26.0,DT Jukes,,,,,K Smith,2012,,Ireland,Afghanistan,field,Afghanistan,,S George,RP Smith,Clontarf Cricket Club Ground,Ireland,59.0,,2012
Jamaica,,2012/07/05,560923,male,1.0,AJ Pycroft,D/L,,,AD Russell,GO Brathwaite,2012,New Zealand in West Indies ODI Series,West Indies,New Zealand,field,West Indies,RK Illingworth,RA Kettleborough,PJ Nero,Sabina Park,West Indies,,9.0,2012
Jamaica,,2012/07/07,560924,male,2.0,AJ Pycroft,,,,MN Samuels,PJ Nero,2012,New Zealand in West Indies ODI Series,West Indies,New Zealand,field,New Zealand,RA Kettleborough,GO Brathwaite,RK Illingworth,Sabina Park,West Indies,55.0,,2012
St Kitts,,2012/07/11,560925,male,3.0,AJ Pycroft,,,,RJ Nicol,PJ Nero,2012,New Zealand in West Indies ODI Series,West Indies,New Zealand,field,West Indies,RK Illingworth,RA Kettleborough,JS Wilson,Warner Park,New Zealand,88.0,,2012
St Kitts,,2012/07/14,560926,male,4.0,AJ Pycroft,,,,SP Narine,JS Wilson,2012,New Zealand in West Indies ODI Series,West Indies,New Zealand,bat,West Indies,RA Kettleborough,RK Illingworth,PJ Nero,Warner Park,West Indies,24.0,,2012
St Kitts,,2012/07/16,560927,male,5.0,AJ Pycroft,,,,SP Narine,PJ Nero,2012,New Zealand in West Indies ODI Series,West Indies,New Zealand,bat,West Indies,RK Illingworth,RA Kettleborough,JS Wilson,Warner Park,West Indies,20.0,,2012
,,2012/06/07,562439,male,1.0,BC Broad,D/L,,,Umar Gul,TH Wijewardene,2012,Pakistan in Sri Lanka ODI Series,Sri Lanka,Pakistan,bat,Sri Lanka,RSA Palliyaguruge,REJ Martinesz,PR Reiffel,Pallekele International Cricket Stadium,Pakistan,,6.0,2012
,,2012/06/09,562440,male,2.0,BC Broad,,,,NLTC Perera,TH Wijewardene,2012,Pakistan in Sri Lanka ODI Series,Sri Lanka,Pakistan,bat,Sri Lanka,REJ Martinesz,RSA Palliyaguruge,PR Reiffel,Pallekele International Cricket Stadium,Sri Lanka,76.0,,2012
Colombo,,2012/06/16,562442,male,4.0,BC Broad,,,,NLTC Perera,WN de Silva,2012,Pakistan in Sri Lanka ODI Series,Sri Lanka,Pakistan,bat,Sri Lanka,RSA Palliyaguruge,REJ Martinesz,PR Reiffel,R Premadasa Stadium,Sri Lanka,44.0,,2012
Colombo,,2012/06/18,562443,male,5.0,BC Broad,,,,AD Mathews,WN de Silva,2012,Pakistan in Sri Lanka ODI Series,Sri Lanka,Pakistan,bat,Pakistan,RSA Palliyaguruge,REJ Martinesz,PR Reiffel,R Premadasa Stadium,Sri Lanka,,2.0,2012
Hambantota,,2012/07/21,564781,male,1.0,BC Broad,,,,V Kohli,SSK Gallage,2012,India in Sri Lanka ODI Series,Sri Lanka,India,bat,India,RSA Palliyaguruge,REJ Martinesz,BNJ Oxenford,Mahinda Rajapaksa International Cricket Stadium,India,21.0,,2012
Hambantota,,2012/07/24,564782,male,2.0,BC Broad,,,,NLTC Perera,MSK Nandiweera,2012,India in Sri Lanka ODI Series,Sri Lanka,India,bat,India,REJ Martinesz,BNJ Oxenford,RSA Palliyaguruge,Mahinda Rajapaksa International Cricket Stadium,Sri Lanka,,9.0,2012
Colombo,,2012/07/28,564783,male,3.0,BC Broad,,,,SK Raina,MVD Zilva,2012,India in Sri Lanka ODI Series,Sri Lanka,India,bat,Sri Lanka,REJ Martinesz,HDPK Dharmasena,BNJ Oxenford,R Premadasa Stadium,India,,5.0,2012
Colombo,,2012/07/31,564784,male,4.0,BC Broad,,,,V Kohli,RR Wimalasiri,2012,India in Sri Lanka ODI Series,Sri Lanka,India,bat,Sri Lanka,TH Wijewardene,HDPK Dharmasena,BNJ Oxenford,R Premadasa Stadium,India,,6.0,2012
,,2012/08/04,564785,male,5.0,BC Broad,,,,IK Pathan,HMNC Dhanasinghe,2012,India in Sri Lanka ODI Series,Sri Lanka,India,bat,India,RSA Palliyaguruge,BNJ Oxenford,TH Wijewardene,Pallekele International Cricket Stadium,India,20.0,,2012
Rajkot,,2013/01/11,565812,male,1.0,AJ Pycroft,,,,JC Tredwell,RM Deshpande,2012/13,England in India ODI Series,India,England,bat,England,VA Kulkarni,SJ Davis,S Ravi,Saurashtra Cricket Association Stadium,England,9.0,,2013
Kochi,,2013/01/15,565813,male,2.0,AJ Pycroft,,,,RA Jadeja,CK Nandan,2012/13,England in India ODI Series,India,England,bat,India,S Asnani,SJ Davis,VA Kulkarni,Nehru Stadium,India,127.0,,2013
Ranchi,,2013/01/19,565814,male,3.0,AJ Pycroft,,,,V Kohli,PG Pathak,2012/13,England in India ODI Series,India,England,field,India,VA Kulkarni,SJ Davis,S Ravi,JSCA International Stadium Complex,India,,7.0,2013
Chandigarh,,2013/01/23,565815,male,4.0,AJ Pycroft,,,,SK Raina,AK Chaudhary,2012/13,England in India ODI Series,India,England,field,India,C Shamshuddin,S Asnani,SJ Davis,Punjab Cricket Association Stadium,India,,5.0,2013
Dharamsala,,2013/01/27,565816,male,5.0,AJ Pycroft,,,,IR Bell,S Das,2012/13,England in India ODI Series,India,England,field,England,C Shamshuddin,S Asnani,SJ Davis,Himachal Pradesh Cricket Association Stadium,England,,7.0,2013
London,,2013/05/31,566923,male,1.0,DC Boon,,,,MJ Guptill,RJ Bailey,2013,NatWest Series,England,New Zealand,field,New Zealand,SJ Davis,Aleem Dar,RK Illingworth,Lord's,New Zealand,,5.0,2013
Southampton,,2013/06/02,566924,male,2.0,DC Boon,,,,MJ Guptill,RK Illingworth,2013,NatWest Series,England,New Zealand,bat,New Zealand,Aleem Dar,RJ Bailey,SJ Davis,The Rose Bowl,New Zealand,86.0,,2013
Dublin,,2013/09/03,566940,male,,RS Mahanama,,,,EJG Morgan,L Fourie,2013,RSA Challenge,Ireland,England,field,England,RP Smith,M Hawthorne,RSA Palliyaguruge,The Village,England,,6.0,2013
Manchester,,2013/09/08,566942,male,2.0,JJ Crowe,,,,MJ Clarke,RT Robinson,2013,NatWest Series,England,Australia,field,England,Aleem Dar,RA Kettleborough,S Ravi,Old Trafford,Australia,88.0,,2013
Cardiff,,2013/09/14,566944,male,4.0,JJ Crowe,,,,JC Buttler,MA Gough,2013,NatWest Series,England,Australia,field,England,Aleem Dar,RJ Bailey,S Ravi,Sophia Gardens,England,,3.0,2013
Southampton,,2013/09/16,566945,male,5.0,JJ Crowe,,,,SR Watson,RT Robinson,2013,NatWest Series,England,Australia,bat,Australia,S Ravi,Aleem Dar,RJ Bailey,The Rose Bowl,Australia,49.0,,2013
London,ICC Champions Trophy,2013/06/19,566946,male,,J Srinath,,,,JC Tredwell,SJ Davis,2013,,England,South Africa,field,England,BNJ Oxenford,HDPK Dharmasena,RJ Tucker,Kennington Oval,England,,7.0,2013
Cardiff,ICC Champions Trophy,2013/06/20,566947,male,,BC Broad,,True,,I Sharma,IJ Gould,2013,,India,Sri Lanka,field,India,NJ Llong,Aleem Dar,RA Kettleborough,Sophia Gardens,India,,8.0,2013
Paarl,,2013/01/19,567358,male,1.0,DC Boon,,,,JEC Franklin,JD Cloete,2012/13,New Zealand in South Africa ODI Series,South Africa,New Zealand,field,New Zealand,Aleem Dar,Enamul Haque,S George,Boland Park,New Zealand,,1.0,2013
Kimberley,,2013/01/22,567359,male,2.0,DC Boon,,,,KS Williamson,S George,2012/13,New Zealand in South Africa ODI Series,South Africa,New Zealand,field,South Africa,Enamul Haque,Aleem Dar,JD Cloete,De Beers Diamond Oval,New Zealand,27.0,,2013
Potchefstroom,,2013/01/25,567360,male,3.0,DC Boon,,,,GC Smith,JD Cloete,2012/13,New Zealand in South Africa ODI Series,South Africa,New Zealand,bat,New Zealand,Aleem Dar,Enamul Haque,AT Holdstock,Senwes Park,South Africa,,1.0,2013
Bloemfontein,,2013/03/10,567368,male,1.0,AJ Pycroft,,,,CA Ingram,S George,2012/13,Pakistan in South Africa ODI Series,South Africa,Pakistan,field,Pakistan,BF Bowden,JD Cloete,HDPK Dharmasena,Chevrolet Park,South Africa,125.0,,2013
Centurion,,2013/03/15,567369,male,2.0,AJ Pycroft,D/L,,,Mohammad Irfan,JD Cloete,2012/13,Pakistan in South Africa ODI Series,South Africa,Pakistan,bat,South Africa,HDPK Dharmasena,BF Bowden,AT Holdstock,SuperSport Park,Pakistan,,6.0,2013
Johannesburg,,2013/03/17,567370,male,3.0,AJ Pycroft,,,,AB de Villiers,AT Holdstock,2012/13,Pakistan in South Africa ODI Series,South Africa,Pakistan,field,Pakistan,HDPK Dharmasena,BF Bowden,S George,New Wanderers Stadium,South Africa,34.0,,2013
Durban,,2013/03/21,567371,male,4.0,AJ Pycroft,,,,Misbah-ul-Haq,M Erasmus,2012/13,Pakistan in South Africa ODI Series,South Africa,Pakistan,bat,South Africa,BF Bowden,HDPK Dharmasena,S George,Kingsmead,Pakistan,,3.0,2013
Benoni,,2013/03/24,567372,male,5.0,AJ Pycroft,,,,AB de Villiers,AT Holdstock,2012/13,Pakistan in South Africa ODI Series,South Africa,Pakistan,bat,Pakistan,HDPK Dharmasena,BF Bowden,JD Cloete,Willowmoore Park,South Africa,,6.0,2013
Hamilton,,2013/02/17,569240,male,1.0,RS Mahanama,,,,BB McCullum,DJ Walker,2012/13,England in New Zealand ODI Series,New Zealand,England,field,New Zealand,RJ Tucker,GAV Baxter,S Ravi,Seddon Park,New Zealand,,3.0,2013
Napier,,2013/02/20,569241,male,2.0,RS Mahanama,,,,,GAV Baxter,2012/13,England in New Zealand ODI Series,New Zealand,England,field,England,S Ravi,CB Gaffaney,RJ Tucker,McLean Park,England,,8.0,2013
Auckland,,2013/02/23,569242,male,3.0,RS Mahanama,,,,,GAV Baxter,2012/13,England in New Zealand ODI Series,New Zealand,England,field,England,RJ Tucker,CB Gaffaney,S Ravi,Eden Park,England,,5.0,2013
,,2012/08/28,571145,male,1.0,J Srinath,,True,,MA Starc,Shozab Raza,2012,Pakistan v Australia ODI Series,Australia,Pakistan,bat,Pakistan,NJ Llong,BF Bowden,Zameer Haider,Sharjah Cricket Stadium,Australia,,4.0,2012
Abu Dhabi,,2012/08/31,571146,male,2.0,RS Mahanama,,True,,Nasir Jamshed,Zameer Haider,2012,Pakistan v Australia ODI Series,Australia,Pakistan,bat,Australia,BF Bowden,Ahsan Raza,NJ Llong,Sheikh Zayed Stadium,Pakistan,,7.0,2012
,,2012/09/03,571147,male,3.0,RS Mahanama,,True,,MEK Hussey,Shozab Raza,2012,Pakistan v Australia ODI Series,Australia,Pakistan,field,Australia,NJ Llong,Ahsan Raza,BF Bowden,Sharjah Cricket Stadium,Australia,,3.0,2012
,,2012/08/25,571947,male,,J Srinath,,True,,MA Starc,Ahmed Shah Durrani,2012,,Afghanistan,Australia,bat,Australia,Zameer Haider,BF Bowden,Shozab Raza,Sharjah Cricket Association Stadium,Australia,66.0,,2012
,,2013/01/11,573014,male,1.0,J Srinath,,,,PJ Hughes,SD Fry,2012/13,Sri Lanka in Australia ODI Series,Australia,Sri Lanka,bat,Australia,M Erasmus,RA Kettleborough,PR Reiffel,Melbourne Cricket Ground,Australia,107.0,,2013
,,2013/01/13,573015,male,2.0,J Srinath,,,,HDRL Thirimanne,PR Reiffel,2012/13,Sri Lanka in Australia ODI Series,Australia,Sri Lanka,field,Sri Lanka,RA Kettleborough,M Erasmus,SD Fry,Adelaide Oval,Sri Lanka,,8.0,2013
Brisbane,,2013/01/18,573016,male,3.0,J Srinath,,,,KMDN Kulasekara,JD Ward,2012/13,Sri Lanka in Australia ODI Series,Australia,Sri Lanka,bat,Australia,M Erasmus,RA Kettleborough,PR Reiffel,Brisbane Cricket Ground,Sri Lanka,,4.0,2013
Hobart,,2013/01/23,573018,male,5.0,J Srinath,,,,PJ Hughes,JD Ward,2012/13,Sri Lanka in Australia ODI Series,Australia,Sri Lanka,field,Sri Lanka,M Erasmus,SD Fry,RA Kettleborough,Bellerive Oval,Australia,32.0,,2013
Perth,,2013/02/01,573022,male,1.0,RS Madugalle,,,,MA Starc,JD Ward,2012/13,West Indies in Australia ODI Series,Australia,West Indies,bat,West Indies,NJ Llong,Asad Rauf,PR Reiffel,Western Australia Cricket Association Ground,Australia,,9.0,2013
Perth,,2013/02/03,573023,male,2.0,RS Madugalle,,,,GJ Bailey,JD Ward,2012/13,West Indies in Australia ODI Series,Australia,West Indies,field,West Indies,Asad Rauf,NJ Llong,PR Reiffel,Western Australia Cricket Association Ground,Australia,54.0,,2013
Canberra,,2013/02/06,573024,male,3.0,RS Madugalle,,,,SR Watson,PR Reiffel,2012/13,West Indies in Australia ODI Series,Australia,West Indies,bat,Australia,NJ Llong,Asad Rauf,SD Fry,Manuka Oval,Australia,39.0,,2013
,,2013/02/08,573025,male,4.0,RS Madugalle,,,,KA Pollard,PR Reiffel,2012/13,West Indies in Australia ODI Series,Australia,West Indies,bat,West Indies,Asad Rauf,SD Fry,NJ Llong,Sydney Cricket Ground,Australia,,5.0,2013
,,2013/02/10,573026,male,5.0,RS Madugalle,,,,AC Voges,SD Fry,2012/13,West Indies in Australia ODI Series,Australia,West Indies,field,West Indies,NJ Llong,Asad Rauf,PR Reiffel,Melbourne Cricket Ground,Australia,17.0,,2013
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/03,576402,male,,DT Jukes,,True,,Aftab Ahmed,B Ramani,2012,,Denmark,Tanzania,bat,Denmark,,V Kalidas,Sri Ganesh,Kinrara Academy Oval,Denmark,88.0,,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/03,576403,male,,DT Jukes,,True,,A Bhattarai,N Sivan,2012,,Nepal,Singapore,bat,Singapore,,SN Bandekar,REJ Martinesz,Selangor Turf Club,Nepal,,5.0,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/04,576405,male,,DT Jukes,D/L,,,C Janik,AW Louw,2012,,Malaysia,Singapore,bat,Singapore,,REJ Martinesz,AK Rana,Kinrara Academy Oval,Singapore,112.0,,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/04,576406,male,,DT Jukes,D/L,True,,MR Pedersen,N Sivan,2012,,Denmark,United States of America,field,United States of America,,Sri Ganesh,DN Subedi,Selangor Turf Club,Denmark,56.0,,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/04,576407,male,,DT Jukes,,True,,P Khadka,B Ramani,2012,,Nepal,Tanzania,bat,Tanzania,,SN Bandekar,V Kalidas,Bayuemas Oval,Nepal,,8.0,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/06,576408,male,,DT Jukes,,True,,Usman Shuja,B Ramani,2012,,Tanzania,United States of America,field,United States of America,,Sri Ganesh,DN Subedi,Kinrara Academy Oval,United States of America,,7.0,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/06,576409,male,,DT Jukes,,,,SP Gauchan,SN Bandekar,2012,,Malaysia,Nepal,bat,Malaysia,,AW Louw,REJ Martinesz,Selangor Turf Club,Nepal,,10.0,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/06,576410,male,,DT Jukes,,True,,M Arora,N Sivan,2012,,Denmark,Singapore,bat,Denmark,,V Kalidas,AK Rana,Bayuemas Oval,Singapore,,4.0,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/07,576411,male,,DT Jukes,,True,,SP Khakurel,Sri Ganesh,2012,,Nepal,United States of America,bat,Nepal,,V Kalidas,AK Rana,Kinrara Academy Oval,Nepal,32.0,,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/07,576412,male,,DT Jukes,,True,,Abhiraj Singh,B Ramani,2012,,Singapore,Tanzania,field,Singapore,,REJ Martinesz,DN Subedi,Selangor Turf Club,Singapore,,8.0,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/09,576414,male,,DT Jukes,D/L,True,,AK Mandal,V Kalidas,2012,,Denmark,Nepal,bat,Nepal,,REJ Martinesz,Sri Ganesh,Kinrara Academy Oval,Nepal,25.0,,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/09,576416,male,,DT Jukes,D/L,True,,TP Allen,N Sivan,2012,,Singapore,United States of America,bat,United States of America,,AW Louw,DN Subedi,Bayuemas Oval,United States of America,37.0,,2012
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/10,576418,male,,DT Jukes,,True,,CR Suryawanshi,N Sivan,2012,,Denmark,Singapore,bat,Denmark,,V Kalidas,DN Subedi,Selangor Turf Club,Singapore,,5.0,2012
Cardiff,ICC Champions Trophy,2013/06/06,578614,male,1.0,AJ Pycroft,,True,,S Dhawan,BF Bowden,2013,,India,South Africa,field,South Africa,RJ Tucker,IJ Gould,BNJ Oxenford,Sophia Gardens,India,26.0,,2013
London,ICC Champions Trophy,2013/06/07,578615,male,2.0,BC Broad,,True,,KAJ Roach,RA Kettleborough,2013,,Pakistan,West Indies,field,West Indies,AL Hill,SJ Davis,NJ Llong,Kennington Oval,West Indies,,2.0,2013
Birmingham,ICC Champions Trophy,2013/06/08,578616,male,3.0,J Srinath,,,,IR Bell,Aleem Dar,2013,,England,Australia,bat,England,BF Bowden,HDPK Dharmasena,M Erasmus,Edgbaston,England,48.0,,2013
Cardiff,ICC Champions Trophy,2013/06/09,578617,male,4.0,AJ Pycroft,,True,,NL McCullum,SJ Davis,2013,,New Zealand,Sri Lanka,bat,Sri Lanka,IJ Gould,BNJ Oxenford,RJ Tucker,Sophia Gardens,New Zealand,,1.0,2013
Birmingham,ICC Champions Trophy,2013/06/10,578618,male,5.0,J Srinath,,True,,HM Amla,HDPK Dharmasena,2013,,Pakistan,South Africa,bat,South Africa,NJ Llong,BF Bowden,RA Kettleborough,Edgbaston,South Africa,67.0,,2013
London,ICC Champions Trophy,2013/06/11,578619,male,6.0,BC Broad,,True,,RA Jadeja,M Erasmus,2013,,India,West Indies,field,India,SJ Davis,Aleem Dar,AL Hill,Kennington Oval,India,,8.0,2013
London,ICC Champions Trophy,2013/06/13,578621,male,8.0,J Srinath,,,,KC Sangakkara,AL Hill,2013,,England,Sri Lanka,field,Sri Lanka,M Erasmus,Aleem Dar,BF Bowden,Kennington Oval,Sri Lanka,,7.0,2013
Cardiff,ICC Champions Trophy,2013/06/14,578622,male,9.0,AJ Pycroft,D/L,True,tie,CA Ingram,Aleem Dar,2013,,South Africa,West Indies,field,West Indies,BNJ Oxenford,SJ Davis,RJ Tucker,Sophia Gardens,,,,2013
Birmingham,ICC Champions Trophy,2013/06/15,578623,male,10.0,BC Broad,D/L,True,,B Kumar,NJ Llong,2013,,India,Pakistan,field,India,HDPK Dharmasena,IJ Gould,RA Kettleborough,Edgbaston,India,,8.0,2013
Cardiff,ICC Champions Trophy,2013/06/16,578624,male,11.0,AJ Pycroft,,,,AN Cook,HDPK Dharmasena,2013,,England,New Zealand,field,New Zealand,SJ Davis,BNJ Oxenford,RJ Tucker,Sophia Gardens,England,10.0,,2013
London,ICC Champions Trophy,2013/06/17,578625,male,12.0,J Srinath,,True,,DPMD Jayawardene,BF Bowden,2013,,Australia,Sri Lanka,field,Australia,Aleem Dar,M Erasmus,AL Hill,Kennington Oval,Sri Lanka,20.0,,2013
Apia,ICC World Cricket League Division Eight,2012/09/17,579741,male,,SR Bernard,D/L,True,,A Mansale,,2012,,Ghana,Vanuatu,bat,Ghana,,GAV Baxter,ND Harrison,Faleata Oval No 1,Vanuatu,,5.0,2012
Apia,ICC World Cricket League Division Eight,2012/09/17,579743,male,,SR Bernard,D/L,True,,A Patmore,,2012,,Bhutan,Japan,bat,Japan,,G Clelland,L Oala,Faleata Oval No 3,Japan,60.0,,2012
Apia,ICC World Cricket League Division Eight,2012/09/20,579751,male,,SR Bernard,,,,T Kaisala,,2012,,Samoa,Bhutan,bat,Bhutan,,GAV Baxter,Farid Dalwai,Faleata Oval No 3,Samoa,,6.0,2012
Apia,ICC World Cricket League Division Eight,2012/09/22,579753,male,,SR Bernard,,True,,J Dunn,GAV Baxter,2012,,Ghana,Vanuatu,bat,Vanuatu,,ND Harrison,Shahul Hameed,Faleata Oval No 1,Vanuatu,39.0,,2012
Apia,ICC World Cricket League Division Eight,2012/09/22,579754,male,,SR Bernard,,True,,A Patmore,,2012,,Belgium,Japan,bat,Japan,,G Clelland,MV Ramesh,Faleata Oval No 2,Japan,10.0,,2012
Apia,ICC World Cricket League Division Eight,2012/09/22,579755,male,,SR Bernard,,,,Tafseer Ali,,2012,,Samoa,Norway,field,Samoa,,CD Elly,N Morrison,Faleata Oval No 3,Norway,134.0,,2012
,,2012/11/04,582188,male,2.0,AJ Pycroft,D/L,,,SL Malinga,HMNC Dhanasinghe,2012/13,New Zealand in Sri Lanka ODI Series,Sri Lanka,New Zealand,bat,New Zealand,REJ Martinesz,HDPK Dharmasena,IJ Gould,Pallekele International Cricket Stadium,Sri Lanka,14.0,,2012
,,2012/11/06,582189,male,3.0,AJ Pycroft,D/L,,,TM Dilshan,HMNC Dhanasinghe,2012/13,New Zealand in Sri Lanka ODI Series,Sri Lanka,New Zealand,field,Sri Lanka,REJ Martinesz,HDPK Dharmasena,IJ Gould,Pallekele International Cricket Stadium,Sri Lanka,,7.0,2012
Hambantota,,2012/11/10,582190,male,4.0,AJ Pycroft,D/L,,,BMAJ Mendis,RR Wimalasiri,2012/13,New Zealand in Sri Lanka ODI Series,Sri Lanka,New Zealand,field,Sri Lanka,TH Wijewardene,IJ Gould,RSA Palliyaguruge,Mahinda Rajapaksa International Cricket Stadium,Sri Lanka,,7.0,2012
,,2012/12/12,584546,female,1.0,DJ Harper,,,,SW Bates,,2012/13,Rose Bowl,Australia,New Zealand,bat,Australia,RG Patterson,NR Johnstone,BNJ Oxenford,Sydney Cricket Ground,New Zealand,,8.0,2012
Sydney,,2012/12/14,584547,female,2.0,DJ Harper,,,,AE Satterthwaite,,2012/13,Rose Bowl,Australia,New Zealand,field,Australia,NR Johnstone,BNJ Oxenford,RG Patterson,North Sydney Oval,Australia,,4.0,2012
Sydney,,2012/12/19,584549,female,4.0,DJ Harper,,,,AE Satterthwaite,,2012/13,Rose Bowl,Australia,New Zealand,bat,Australia,NR Johnstone,BNJ Oxenford,RG Patterson,North Sydney Oval,Australia,7.0,,2012
,Asian Cricket Council Women's Twenty20 Asia Cup,2012/10/30,584928,female,,RJ Ratnayake,,True,,Nida Dar,Han Guangze,2012/13,,Bangladesh,Pakistan,field,Pakistan,,Sarika Prasad,B Ramani,Guanggong International Cricket Stadium,Pakistan,,6.0,2012
Khulna,,2012/11/30,587471,male,1.0,AJ Pycroft,,,,Sohag Gazi,Masudur Rahman,2012/13,West Indies in Bangladesh ODI Series,Bangladesh,West Indies,bat,West Indies,Anisur Rahman,Enamul Haque,REJ Martinesz,Sheikh Abu Naser Stadium,Bangladesh,,7.0,2012
Khulna,,2012/12/02,587472,male,2.0,AJ Pycroft,,,,Anamul Haque,Masudur Rahman,2012/13,West Indies in Bangladesh ODI Series,Bangladesh,West Indies,field,West Indies,Anisur Rahman,Enamul Haque,REJ Martinesz,Sheikh Abu Naser Stadium,Bangladesh,160.0,,2012
Mirpur,,2012/12/05,587473,male,3.0,AJ Pycroft,,,,MN Samuels,Gazi Sohel,2012/13,West Indies in Bangladesh ODI Series,Bangladesh,West Indies,field,West Indies,Anisur Rahman,Enamul Haque,REJ Martinesz,Shere Bangla National Stadium,West Indies,,4.0,2012
Mirpur,,2012/12/07,587474,male,4.0,AJ Pycroft,,,,DJG Sammy,Gazi Sohel,2012/13,West Indies in Bangladesh ODI Series,Bangladesh,West Indies,field,Bangladesh,Anisur Rahman,Enamul Haque,REJ Martinesz,Shere Bangla National Stadium,West Indies,75.0,,2012
Mirpur,,2012/12/08,587475,male,5.0,AJ Pycroft,,,,Mahmudullah,Tanvir Ahmed,2012/13,West Indies in Bangladesh ODI Series,Bangladesh,West Indies,field,Bangladesh,Anisur Rahman,Enamul Haque,REJ Martinesz,Shere Bangla National Stadium,Bangladesh,,2.0,2012
Chennai,,2012/12/30,589308,male,1.0,RS Mahanama,,,,MS Dhoni,CK Nandan,2012/13,Pakistan in India ODI Series,India,Pakistan,field,Pakistan,S Asnani,BF Bowden,S Ravi,MA Chidambaram Stadium,Pakistan,,6.0,2012
Kolkata,,2013/01/03,589309,male,2.0,RS Mahanama,,,,Nasir Jamshed,S Das,2012/13,Pakistan in India ODI Series,India,Pakistan,field,India,S Ravi,BF Bowden,VA Kulkarni,Eden Gardens,Pakistan,85.0,,2013
Delhi,,2013/01/06,589310,male,3.0,RS Mahanama,,,,MS Dhoni,AK Chaudhary,2012/13,Pakistan in India ODI Series,India,Pakistan,bat,India,VA Kulkarni,S Asnani,BF Bowden,Feroz Shah Kotla,India,10.0,,2013
Dubai,ICC World Cricket League Championship,2013/03/11,592266,male,35.0,GF Labrooy,,True,,E Otieno,,2012/13,,Canada,Kenya,bat,Canada,,RJ Bailey,D Odhiambo,ICC Global Cricket Academy,Kenya,,6.0,2013
London,,2013/08/20,593723,female,1.0,DT Jukes,,,,EA Osborne,,2013,Women's Ashes,England,Australia,bat,Australia,,JW Lloyds,SJ O'Shaughnessy,Lord's,Australia,27.0,,2013
Hove,,2013/08/23,593724,female,2.0,DT Jukes,,,,A Shrubsole,,2013,Women's Ashes,England,Australia,bat,England,,MJD Bodenham,PJ Hartley,County Ground,England,51.0,,2013
Hove,,2013/08/25,593725,female,3.0,DT Jukes,,,,SJ Taylor,,2013,Women's Ashes,England,Australia,bat,Australia,AG Wharf,I Dawood,IJ Gould,County Ground,England,,5.0,2013
Grenada,,2013/02/22,593983,male,1.0,J Srinath,,,,J Charles,PJ Nero,2012/13,Zimbabwe in West Indies ODI Series,West Indies,Zimbabwe,field,Zimbabwe,JD Cloete,IJ Gould,JS Wilson,National Cricket Stadium,West Indies,156.0,,2013
Grenada,,2013/02/26,593985,male,3.0,J Srinath,,,,DM Bravo,PJ Nero,2012/13,Zimbabwe in West Indies ODI Series,West Indies,Zimbabwe,bat,Zimbabwe,JD Cloete,GO Brathwaite,IJ Gould,National Cricket Stadium,West Indies,,5.0,2013
Mumbai,ICC Women's World Cup,2013/01/31,594891,female,1.0,DT Jukes,,,,MDT Kamini,BB Pradhan,2012/13,,India,West Indies,field,West Indies,Sarika Prasad,S George,M Hawthorne,Brabourne Stadium,India,105.0,,2013
Mumbai,ICC Women's World Cup,2013/02/01,594894,female,3.0,DT Jukes,,True,,LE Kaushalya,Sarika Prasad,2012/13,,England,Sri Lanka,field,Sri Lanka,VA Kulkarni,GO Brathwaite,BB Pradhan,Brabourne Stadium,Sri Lanka,,1.0,2013
