city,competition,date,match-id,gender,match-number,match-referee,method,neutralvenue,outcome,player-of-match,reserve-umpire,season,series,team-0,team-1,toss-decision,toss-winner,tv-umpire,umpire-0,umpire-1,venue,winner,winner-runs,winner-wickets,year
Chittagong,,2010/12/12,486526,male,5.0,BC Broad,,,,Tamim Iqbal,Anisur Rahman,2010/11,Zimbabwe in Bangladesh ODI Series,Bangladesh,Zimbabwe,bat,Zimbabwe,Enamul Haque,EAR de Silva,Nadir Shah,Zahur Ahmed Chowdhury Stadium,Bangladesh,,6.0,2010
St Lucia,,2011/04/23,489213,male,1.0,JJ Crowe,,,,Mohammad Hafeez,GO Brathwaite,2011,Pakistan in West Indies ODI Series,West Indies,Pakistan,bat,West Indies,PJ Nero,EAR de Silva,NA Malcolm,Beausejour Stadium,Pakistan,,8.0,2011
St Lucia,,2011/04/25,489214,male,2.0,JJ Crowe,,,,Ahmed Shehzad,GO Brathwaite,2011,Pakistan in West Indies ODI Series,West Indies,Pakistan,field,Pakistan,PJ Nero,EAR de Silva,NA Malcolm,Beausejour Stadium,Pakistan,,7.0,2011
Barbados,,2011/04/28,489215,male,3.0,JJ Crowe,,,,Misbah-ul-Haq,JS Wilson,2011,Pakistan in West Indies ODI Series,West Indies,Pakistan,field,Pakistan,NA Malcolm,EAR de Silva,PJ Nero,Kensington Oval,Pakistan,,3.0,2011
Barbados,,2011/05/02,489216,male,4.0,JJ Crowe,D/L,,,Mohammad Hafeez,NA Malcolm,2011,Pakistan in West Indies ODI Series,West Indies,Pakistan,field,West Indies,JS Wilson,EAR de Silva,PJ Nero,Kensington Oval,West Indies,1.0,,2011
Guyana,,2011/05/05,489217,male,5.0,JJ Crowe,,,,LMP Simmons,PJ Nero,2011,Pakistan in West Indies ODI Series,West Indies,Pakistan,bat,Pakistan,JS Wilson,EAR de Silva,NA Malcolm,Providence Stadium,West Indies,,10.0,2011
Trinidad,,2011/06/06,489221,male,1.0,JJ Crowe,,,,RG Sharma,JS Wilson,2011,India in West Indies ODI Series,West Indies,India,bat,West Indies,NA Malcolm,IJ Gould,PJ Nero,Queen's Park Oval,India,,4.0,2011
Trinidad,,2011/06/08,489222,male,2.0,JJ Crowe,D/L,,,V Kohli,NA Malcolm,2011,India in West Indies ODI Series,West Indies,India,field,India,JS Wilson,IJ Gould,PJ Nero,Queen's Park Oval,India,,7.0,2011
Antigua,,2011/06/11,489223,male,3.0,JJ Crowe,,,,AD Russell,PJ Nero,2011,India in West Indies ODI Series,West Indies,India,field,India,GO Brathwaite,IJ Gould,NA Malcolm,Sir Vivian Richards Stadium,India,,3.0,2011
Antigua,,2011/06/13,489224,male,4.0,JJ Crowe,,,,A Martin,JS Wilson,2011,India in West Indies ODI Series,West Indies,India,field,India,GO Brathwaite,IJ Gould,NA Malcolm,Sir Vivian Richards Stadium,West Indies,103.0,,2011
